Product_Name,Brand_Name,Model_Code,Category,Price_THB,Product_URL,Source,Collection_Date,Normalized_Category
N-014 ช้างแก้ว บล็อกแก้ว หยาดเพชร,ช้าง,24829997.0,bricks,255.2,https://www.onestockhome.com/th/products/48136923/n-014-glass-block-clear-color-clear_glass-block_scg?item_id=24829997,OneStockHome,2026-04-30,Bricks
เหล็ก HB H Beam เอชบีม 100x100 SS400 (HB 100x100),OneStockHome,95361636.0,steel,3178.56,https://www.onestockhome.com/th/products/49781554/h-beam-100x100-ss400_sys?item_id=95361636,OneStockHome,2026-04-30,Steel
เหล็กโครงสร้าง WF ไวด์แฟรงค์ 200x100 SS400 (HB 200x100),OneStockHome,36958330.0,steel,7872.48,https://www.onestockhome.com/th/products/64958378/wide-flange-200x100-ss400-hb-200x100_sys?item_id=36958330,OneStockHome,2026-04-30,Steel
เหล็ก HB H Beam เอชบีม 250x250 SS400 (HB 250x250),OneStockHome,85847977.0,steel,26759.04,https://www.onestockhome.com/th/products/97826100/h-beam-250x250-ss400_sys?item_id=85847977,OneStockHome,2026-04-30,Steel
เหล็กโครงสร้าง WF ไวด์แฟรงค์ 250x125 SS400 (HB 250x125),OneStockHome,82477982.0,steel,8205.12,https://www.onestockhome.com/th/products/63625668/wide-flange-250x125-ss400-hb-250x125_sys?item_id=82477982,OneStockHome,2026-04-30,Steel
เหล็ก HB H Beam เอชบีม 250x250 SS400 (HB 250x250),OneStockHome,3985919.0,steel,13379.52,https://www.onestockhome.com/th/products/97826100/h-beam-250x250-ss400_sys?item_id=3985919,OneStockHome,2026-04-30,Steel
เหล็กโครงสร้าง WF ไวด์แฟรงค์ 300x150 SS400 (HB 300x150),OneStockHome,81634497.0,steel,10173.24,https://www.onestockhome.com/th/products/90892520/wide-flange-300x150-ss400-hb-300x150_sys?item_id=81634497,OneStockHome,2026-04-30,Steel
เหล็ก HB H Beam เอชบีม 200x200 SS400 (HB 200x200),OneStockHome,62732155.0,steel,9221.52,https://www.onestockhome.com/th/products/96112715/h-beam-200x200-ss400_sys?item_id=62732155,OneStockHome,2026-04-30,Steel
เหล็ก HB H Beam เอชบีม 200x200 SS400 (HB 200x200),OneStockHome,506810.0,steel,13832.28,https://www.onestockhome.com/th/products/96112715/h-beam-200x200-ss400_sys?item_id=506810,OneStockHome,2026-04-30,Steel
เหล็ก HB H Beam เอชบีม 150x150 SS400 (HB 150x150),OneStockHome,55011829.0,steel,11642.4,https://www.onestockhome.com/th/products/38937061/h-beam-150x150-ss400_sys?item_id=55011829,OneStockHome,2026-04-30,Steel
เหล็กโครงสร้าง WF ไวด์แฟรงค์ 150x75 SS400 (HB 150x75),OneStockHome,33030654.0,steel,5174.4,https://www.onestockhome.com/th/products/43009828/wide-flange-150x75-ss400-hb-150x75_sys?item_id=33030654,OneStockHome,2026-04-30,Steel
เหล็กโครงสร้าง WF ไวด์แฟรงค์ 300x150 SS400 (HB 300x150),OneStockHome,77406658.0,steel,6782.16,https://www.onestockhome.com/th/products/90892520/wide-flange-300x150-ss400-hb-300x150_sys,OneStockHome,2026-04-30,Steel
เหล็กไอบีม 150x75 SYS (IB 150x75),SYS,37211180.0,steel,3416.58,https://www.onestockhome.com/th/products/42047861/i-beam-150x75-ss400_sys,OneStockHome,2026-04-30,Steel
เหล็กโครงสร้าง WF ไวด์แฟรงค์ 350x175 SS400 (HB 350x175),OneStockHome,81086145.0,steel,9166.08,https://www.onestockhome.com/th/products/41816986/wide-flange-350x175-ss400-hb-350x175_sys?item_id=81086145,OneStockHome,2026-04-30,Steel
เหล็กฉากเจาะรู ด้านเท่า สีเทาอ่อน พ่นสีฝุ่น ขนาด 1.5x1.5 นิ้ว,OneStockHome,68462897.0,steel,2.6,https://www.onestockhome.com/th/products/53168422/slotted-angle-equal-wings-light-grey-matt_slotted-angle-sanki_sanki?item_id=68462897,OneStockHome,2026-04-30,Steel
เหล็กฉากเจาะรู ด้านเท่า สีขาว พ่นสีฝุ่น ขนาด 1.5x1.5 นิ้ว,OneStockHome,87370252.0,steel,1.74,https://www.onestockhome.com/th/products/85326234/slotted-angle-equal-wings-white-matt_slotted-angle-sanki_sanki?item_id=87370252,OneStockHome,2026-04-30,Steel
เหล็กฉากเจาะรู ด้านเท่า สีเทาอ่อน พ่นสีฝุ่น ขนาด 1.5x1.5 นิ้ว,OneStockHome,76542749.0,steel,2.32,https://www.onestockhome.com/th/products/53168422/slotted-angle-equal-wings-light-grey-matt_slotted-angle-sanki_sanki,OneStockHome,2026-04-30,Steel
เหล็กฉากเจาะรู ด้านเท่า สีขาว พ่นสีฝุ่น ขนาด 1.5x1.5 นิ้ว,OneStockHome,94703362.0,steel,2.03,https://www.onestockhome.com/th/products/85326234/slotted-angle-equal-wings-white-matt_slotted-angle-sanki_sanki?item_id=94703362,OneStockHome,2026-04-30,Steel
เหล็กฉากเจาะรู ด้านเท่า สีเทาอ่อน พ่นสีฝุ่น ขนาด 1.5x1.5 นิ้ว,OneStockHome,39422580.0,steel,1.74,https://www.onestockhome.com/th/products/53168422/slotted-angle-equal-wings-light-grey-matt_slotted-angle-sanki_sanki?item_id=39422580,OneStockHome,2026-04-30,Steel
เหล็กฉากเจาะรู ด้านเท่า สีขาว พ่นสีฝุ่น ขนาด 1.5x1.5 นิ้ว,OneStockHome,42121513.0,steel,2.32,https://www.onestockhome.com/th/products/85326234/slotted-angle-equal-wings-white-matt_slotted-angle-sanki_sanki?item_id=42121513,OneStockHome,2026-04-30,Steel
ลวดเชื่อมเหล็ก MATALL E6013 2.6X350 มม. 2 กก.,OneStockHome,17862357.0,steel,98.13,https://www.onestockhome.com/th/products/86230451/welding-electrodes-for-steel-e6013-matall_welding-rods_matall?item_id=17862357,OneStockHome,2026-04-30,Steel
ลวดเชื่อมเหล็ก MATALL E6013 ขนาด 3.2 มม.,OneStockHome,88654229.0,steel,5.01,https://www.onestockhome.com/th/products/39356879/welding-electrode-matall-e6013-26-mm_hardware-tools_matall?item_id=88654229,OneStockHome,2026-04-30,Steel
เหล็กไอบีม 150x75 SYS (IB 150x75),SYS,16817371.0,steel,5124.87,https://www.onestockhome.com/th/products/42047861/i-beam-150x75-ss400_sys?item_id=16817371,OneStockHome,2026-04-30,Steel
เหล็กโครงสร้าง WF ไวด์แฟรงค์ 200x100 SS400 (HB 200x100),OneStockHome,88176448.0,steel,3936.24,https://www.onestockhome.com/th/products/64958378/wide-flange-200x100-ss400-hb-200x100_sys,OneStockHome,2026-04-30,Steel
เหล็ก HB H Beam เอชบีม 125x125 SS400 (HB 125x125),OneStockHome,13965750.0,steel,4398.24,https://www.onestockhome.com/th/products/14471660/h-beam-125x125-ss400_sys,OneStockHome,2026-04-30,Steel
เหล็กโครงสร้าง WF ไวด์แฟรงค์ 400x200 SS400 (HB 400x200),OneStockHome,18041102.0,steel,12196.8,https://www.onestockhome.com/th/products/82686810/wide-flange-400x200-ss400-hb-400x200_sys,OneStockHome,2026-04-30,Steel
