Product_Name,Brand_Name,Brand_Slug,Model_Code,Category,Price_THB,Product_URL,Source,Collection_Date
N-013 ช้างแก้ว บล็อกแก้ว แก้วคลื่นทะเล,N-013,scg,72997016,bricks,20000.0,https://www.onestockhome.com/th/products/40452943/n-013-glass-block-clear-color-ocean-wave_glass-block_scg?item_id=72997016,OneStockHome,2026-05-01
N-001 ช้างแก้ว บล็อกแก้ว ประกายแก้ว,N-001,scg,37807520,bricks,20000.0,https://www.onestockhome.com/th/products/75986541/n-001-glass-block-clear-color-small-square_glass-block_scg,OneStockHome,2026-05-01
N-005 ช้างแก้ว บล็อกแก้ว เพชรจันทรา,N-005,scg,87596945,bricks,20000.0,https://www.onestockhome.com/th/products/19588943/n-005-glass-block-clear-color-fine-gem_bricks_scg?item_id=87596945,OneStockHome,2026-05-01
N-014 ช้างแก้ว บล็อกแก้ว หยาดเพชร,N-014,scg,24829997,bricks,20000.0,https://www.onestockhome.com/th/products/48136923/n-014-glass-block-clear-color-clear_glass-block_scg?item_id=24829997,OneStockHome,2026-05-01
N-003 ช้างแก้ว บล็อกแก้ว พริ้วแก้ว,N-003,scg,67963895,bricks,20000.0,https://www.onestockhome.com/th/products/29951766/n-003-glass-block-clear-color-ice_bricks_scg?item_id=67963895,OneStockHome,2026-05-01
E-104 Glass Block พลอยพิรุณ,E-104,scg,75021870,bricks,20000.0,https://www.onestockhome.com/th/products/37744769/e-104-glass-block-sandy-gem_glass-block_scg?item_id=75021870,OneStockHome,2026-05-01
N-013 ช้างแก้ว บล็อกแก้ว แก้วคลื่นทะเล,N-013,scg,26063730,bricks,20000.0,https://www.onestockhome.com/th/products/40452943/n-013-glass-block-clear-color-ocean-wave_glass-block_scg?item_id=26063730,OneStockHome,2026-05-01
N-016 ช้างแก้ว บล็อกแก้ว แก้วนภา,N-016,scg,1303437,bricks,20000.0,https://www.onestockhome.com/th/products/35266030/n-016-glass-block-clear-color-flemish_glass-block_scg?item_id=1303437,OneStockHome,2026-05-01
N-015 ช้างแก้ว บล็อกแก้ว เพชรสุริยัน,N-015,scg,64708216,bricks,20000.0,https://www.onestockhome.com/th/products/64631004/n-015-glass-block-clear-color-big-gem_glass-block_scg?item_id=64708216,OneStockHome,2026-05-01
E-105 Glass Block พลอยประดับฟ้า,E-105,scg,8459454,bricks,20000.0,https://www.onestockhome.com/th/products/92989226/e-105-glass-block-sky-gem_glass-block_scg?item_id=8459454,OneStockHome,2026-05-01
N-004 ช้างแก้ว บล็อกแก้ว เพชรสุริยัน,N-004,scg,94197056,bricks,20000.0,https://www.onestockhome.com/th/products/39528329/n-004-glass-block-clear-color-big-gem_glass-block_scg?item_id=94197056,OneStockHome,2026-05-01
C-004 Glass Block หวายแก้ว,C-004,scg,48450414,bricks,20000.0,https://www.onestockhome.com/th/products/65055705/c-004-glass-block-rattan_bricks_scg?item_id=48450414,OneStockHome,2026-05-01
N-016 ช้างแก้ว บล็อกแก้ว แก้วนภา,N-016,scg,1303437,bricks,20000.0,https://www.onestockhome.com/th/products/35266030/n-016-glass-block-clear-color-flemish_glass-block_scg,OneStockHome,2026-05-01
E-105 Glass Block พลอยประดับฟ้า,E-105,scg,8459454,bricks,20000.0,https://www.onestockhome.com/th/products/92989226/e-105-glass-block-sky-gem_glass-block_scg,OneStockHome,2026-05-01
N-006 ช้างแก้ว บล็อกแก้ว เพชรมงคล,N-006,scg,54773084,bricks,20000.0,https://www.onestockhome.com/th/products/86696591/n-006-glass-block-clear-color-fortune_glass-block_scg,OneStockHome,2026-05-01
N-003 ช้างแก้ว บล็อกแก้ว พริ้วแก้ว,N-003,scg,34148828,bricks,20000.0,https://www.onestockhome.com/th/products/29951766/n-003-glass-block-clear-color-ice_bricks_scg?item_id=34148828,OneStockHome,2026-05-01
N-014 ช้างแก้ว บล็อกแก้ว หยาดเพชร,N-014,scg,29917446,bricks,20000.0,https://www.onestockhome.com/th/products/48136923/n-014-glass-block-clear-color-clear_glass-block_scg,OneStockHome,2026-05-01
E-104 Glass Block พลอยพิรุณ,E-104,scg,75021870,bricks,20000.0,https://www.onestockhome.com/th/products/37744769/e-104-glass-block-sandy-gem_glass-block_scg,OneStockHome,2026-05-01
N-006 ช้างแก้ว บล็อกแก้ว เพชรมงคล,N-006,scg,54773084,bricks,20000.0,https://www.onestockhome.com/th/products/86696591/n-006-glass-block-clear-color-fortune_glass-block_scg?item_id=54773084,OneStockHome,2026-05-01
N-003 ช้างแก้ว บล็อกแก้ว พริ้วแก้ว,N-003,scg,94535836,bricks,20000.0,https://www.onestockhome.com/th/products/29951766/n-003-glass-block-clear-color-ice_bricks_scg?item_id=94535836,OneStockHome,2026-05-01
N-013 ช้างแก้ว บล็อกแก้ว แก้วคลื่นทะเล,N-013,scg,98930061,bricks,20000.0,https://www.onestockhome.com/th/products/40452943/n-013-glass-block-clear-color-ocean-wave_glass-block_scg?item_id=98930061,OneStockHome,2026-05-01
N-001 ช้างแก้ว บล็อกแก้ว ประกายแก้ว,N-001,scg,37807520,bricks,20000.0,https://www.onestockhome.com/th/products/75986541/n-001-glass-block-clear-color-small-square_glass-block_scg?item_id=37807520,OneStockHome,2026-05-01
C-004 Glass Block หวายแก้ว,C-004,scg,48450414,bricks,20000.0,https://www.onestockhome.com/th/products/65055705/c-004-glass-block-rattan_bricks_scg,OneStockHome,2026-05-01
N-005 ช้างแก้ว บล็อกแก้ว เพชรจันทรา,N-005,scg,87596945,bricks,20000.0,https://www.onestockhome.com/th/products/19588943/n-005-glass-block-clear-color-fine-gem_bricks_scg,OneStockHome,2026-05-01
N-014 ช้างแก้ว บล็อกแก้ว หยาดเพชร,N-014,scg,29917446,bricks,20000.0,https://www.onestockhome.com/th/products/48136923/n-014-glass-block-clear-color-clear_glass-block_scg?item_id=29917446,OneStockHome,2026-05-01
N-003 ช้างแก้ว บล็อกแก้ว พริ้วแก้ว,N-003,scg,94535836,bricks,20000.0,https://www.onestockhome.com/th/products/29951766/n-003-glass-block-clear-color-ice_bricks_scg,OneStockHome,2026-05-01
N-015 ช้างแก้ว บล็อกแก้ว เพชรสุริยัน,N-015,scg,64708216,bricks,20000.0,https://www.onestockhome.com/th/products/64631004/n-015-glass-block-clear-color-big-gem_glass-block_scg,OneStockHome,2026-05-01
N-004 ช้างแก้ว บล็อกแก้ว เพชรสุริยัน,N-004,scg,27895577,bricks,20000.0,https://www.onestockhome.com/th/products/39528329/n-004-glass-block-clear-color-big-gem_glass-block_scg?item_id=27895577,OneStockHome,2026-05-01
N-004 ช้างแก้ว บล็อกแก้ว เพชรสุริยัน,N-004,scg,62512661,bricks,20000.0,https://www.onestockhome.com/th/products/39528329/n-004-glass-block-clear-color-big-gem_glass-block_scg,OneStockHome,2026-05-01
N-013 ช้างแก้ว บล็อกแก้ว แก้วคลื่นทะเล,N-013,scg,26063730,bricks,20000.0,https://www.onestockhome.com/th/products/40452943/n-013-glass-block-clear-color-ocean-wave_glass-block_scg,OneStockHome,2026-05-01
N-004 ช้างแก้ว บล็อกแก้ว เพชรสุริยัน,N-004,scg,62512661,bricks,20000.0,https://www.onestockhome.com/th/products/39528329/n-004-glass-block-clear-color-big-gem_glass-block_scg?item_id=62512661,OneStockHome,2026-05-01
ผนังปูน หล่อในที่ WALLi-T ระบบ Silo Spraying System โดย เสือมอร์ต้า SCG,ผนังปูน,tiger-brand,74050806,bricks,20000.0,https://www.onestockhome.com/th/products/96016865/walli-t-cement-wall-system_wall-panel_tiger-brand_scg,OneStockHome,2026-05-01
ผนังปูน หล่อในที่ WALLi-T ระบบ Silo Spraying System โดย เสือมอร์ต้า SCG,ผนังปูน,tiger-brand,74050806,bricks,20000.0,https://www.onestockhome.com/th/products/96016865/walli-t-cement-wall-system_wall-panel_tiger-brand_scg?item_id=74050806,OneStockHome,2026-05-01
อิฐมวลเบา Q-CON 20 ซม. รุ่น Extra Cool G2,อิฐมวลเบา,q-con,64653002,bricks,20000.0,https://www.onestockhome.com/th/products/31417066/q-con-light-weight-brick-g2-20x60x20-cm_light-weight-brick_q-con?item_id=64653002,OneStockHome,2026-05-01
