Product_Name,Brand_Name,Brand_Slug,Model_Code,Category,Price_THB,Product_URL,Source,Collection_Date
เหล็กเส้น 5 หุน เหล็กข้ออ้อย 16 มิล (DB16) มอก.,เหล็กเส้น,onestockhome,85062060,steel,20000.0,https://www.onestockhome.com/th/products/95358899/deformed-bar-16-mm-db16_onestockhome,OneStockHome,2026-05-01
เหล็กเส้น 4 หุน เหล็กข้ออ้อย 12 มิล (DB12) มอก.,เหล็กเส้น,onestockhome,4878697,steel,5000.0,https://www.onestockhome.com/th/products/17886293/deformed-bar-12-mm-db12_onestockhome,OneStockHome,2026-05-01
เหล็กกล่องกัลวาไนซ์ 2x2 นิ้ว ยาว 6 เมตร,เหล็กกล่องกัลวาไนซ์,onestockhome,94572644,steel,20000.0,https://www.onestockhome.com/th/products/17949254/square-tube-galvanized-2-x-2-inches_pre-zinc-gi-pipes_onestockhome?item_id=94572644,OneStockHome,2026-05-01
เหล็กฉาก 2 นิ้ว (50x50 มม.) ยาว 6 เมตร,เหล็กฉาก,onestockhome,3569929,steel,20000.0,https://www.onestockhome.com/th/products/5315815/equal-angles-steel-tis-50x50-mm_angle-steel_onestockhome?item_id=3569929,OneStockHome,2026-05-01
เหล็กกล่องกัลวาไนซ์ 2x2 นิ้ว ยาว 6 เมตร,เหล็กกล่องกัลวาไนซ์,onestockhome,54350837,steel,5000.0,https://www.onestockhome.com/th/products/17949254/square-tube-galvanized-2-x-2-inches_pre-zinc-gi-pipes_onestockhome,OneStockHome,2026-05-01
เหล็กฉาก 2 นิ้ว (50x50 มม.) ยาว 6 เมตร,เหล็กฉาก,onestockhome,9468921,steel,5000.0,https://www.onestockhome.com/th/products/5315815/equal-angles-steel-tis-50x50-mm_angle-steel_onestockhome?item_id=9468921,OneStockHome,2026-05-01
เหล็กกล่องกัลวาไนซ์ 3x1.5 นิ้ว ยาว 6 เมตร,เหล็กกล่องกัลวาไนซ์,onestockhome,91958950,steel,20000.0,https://www.onestockhome.com/th/products/89552334/galvanized-rectangular-pipe-3-x-1-12-inches_pre-zinc-gi-pipes_onestockhome,OneStockHome,2026-05-01
เหล็กเส้น 5 หุน เหล็กข้ออ้อย 16 มิล (DB16) มอก.,เหล็กเส้น,onestockhome,22811198,steel,5000.0,https://www.onestockhome.com/th/products/95358899/deformed-bar-16-mm-db16_onestockhome?item_id=22811198,OneStockHome,2026-05-01
เหล็กกล่องกัลวาไนซ์ 4x2 นิ้ว ยาว 6 เมตร,เหล็กกล่องกัลวาไนซ์,onestockhome,46792347,steel,20000.0,https://www.onestockhome.com/th/products/91021271/galvanized-rectangular-pipe-4-x-2-inches_pre-zinc-gi-pipes_onestockhome?item_id=46792347,OneStockHome,2026-05-01
เหล็กเส้นกลม 3 หุน (9 มิล) RB9 มอก.,เหล็กเส้นกลม,onestockhome,44826816,steel,20000.0,https://www.onestockhome.com/th/products/77436174/round-bar-9-mm-rb9_onestockhome,OneStockHome,2026-05-01
เหล็กกล่องกัลวาไนซ์ 4x2 นิ้ว ยาว 6 เมตร,เหล็กกล่องกัลวาไนซ์,onestockhome,27617677,steel,20000.0,https://www.onestockhome.com/th/products/91021271/galvanized-rectangular-pipe-4-x-2-inches_pre-zinc-gi-pipes_onestockhome?item_id=27617677,OneStockHome,2026-05-01
เหล็กกล่องกัลวาไนซ์ 1x1 นิ้ว ยาว 6 เมตร,เหล็กกล่องกัลวาไนซ์,onestockhome,21892270,steel,20000.0,https://www.onestockhome.com/th/products/57621363/square-tube-galvanized-1-x-1-inches_pre-zinc-gi-square-steel-pipes_onestockhome?item_id=21892270,OneStockHome,2026-05-01
เหล็กกล่องกัลวาไนซ์ 2x1 นิ้ว ยาว 6 เมตร,เหล็กกล่องกัลวาไนซ์,onestockhome,76214989,steel,20000.0,https://www.onestockhome.com/th/products/71760827/galvanized-rectangular-pipe-2-x-1-inches_pre-zinc-gi-pipes_onestockhome?item_id=76214989,OneStockHome,2026-05-01
เหล็กกล่อง 2x2 นิ้ว ยาว 6 เมตร,เหล็กกล่อง,onestockhome,22628214,steel,20000.0,https://www.onestockhome.com/th/products/46362555/steel-square-pipe-2x2-inch-_steel-tube-2-x-2-inch_onestockhome,OneStockHome,2026-05-01
เหล็กเส้น 4 หุน เหล็กข้ออ้อย 12 มิล (DB12) มอก.,เหล็กเส้น,onestockhome,4878697,steel,20000.0,https://www.onestockhome.com/th/products/17886293/deformed-bar-12-mm-db12_onestockhome?item_id=4878697,OneStockHome,2026-05-01
เหล็กเส้นกลม 2 หุน (6 มิล) RB6 มอก.,เหล็กเส้นกลม,onestockhome,27842695,steel,20000.0,https://www.onestockhome.com/th/products/31182754/round-bar-6-mm-rb6_onestockhome,OneStockHome,2026-05-01
เหล็กกล่อง 2x2 นิ้ว ยาว 6 เมตร,เหล็กกล่อง,onestockhome,5662682,steel,5000.0,https://www.onestockhome.com/th/products/46362555/steel-square-pipe-2x2-inch-_steel-tube-2-x-2-inch_onestockhome?item_id=5662682,OneStockHome,2026-05-01
เหล็ก H Beam เอชบีม SS400 SYS 150x150x7x10 มม. 6 ม.,เหล็ก,onestockhome,4813988,steel,20000.0,https://www.onestockhome.com/th/items/4813988/h-beam-150x150x7x10-mm-6m-189kg_h-beam_sys,OneStockHome,2026-05-01
เหล็ก H Beam เอชบีม SS400 SYS 200x200x8x12 มม. 6 ม.,เหล็ก,onestockhome,62732155,steel,20000.0,https://www.onestockhome.com/th/items/62732155/h-beam-200x200x8x12-mm-6m-2994kg_h-beam_sys,OneStockHome,2026-05-01
เหล็กกล่องกัลวาไนซ์ 1x1 นิ้ว ยาว 6 เมตร,เหล็กกล่องกัลวาไนซ์,onestockhome,21892270,steel,20000.0,https://www.onestockhome.com/th/products/57621363/square-tube-galvanized-1-x-1-inches_pre-zinc-gi-square-steel-pipes_onestockhome,OneStockHome,2026-05-01
เหล็กเส้นกลม 3 หุน (9 มิล) RB9 มอก.,เหล็กเส้นกลม,onestockhome,85990654,steel,20000.0,https://www.onestockhome.com/th/products/77436174/round-bar-9-mm-rb9_onestockhome?item_id=85990654,OneStockHome,2026-05-01
